product_id,code,standard_label,category_lv1,category_lv2,station_scope,keywords_examples
M1_MOTOR,M1_MOTOR-WR-001,Open circuit: R88 / VCC_12V,WIRING,OPEN,AOI;HIPOT;HIL;EOL,"open, 断路, R88, VCC_12V"
M1_MOTOR,M1_MOTOR-WR-002,Open circuit: L9 / HALL_A,WIRING,OPEN,EOL;THERMAL,"open, 断路, L9, HALL_A"
M1_MOTOR,M1_MOTOR-WR-003,Open circuit: Q3 / PHASE_U,WIRING,OPEN,THERMAL;HIPOT,"open, 断路, Q3, PHASE_U"
M1_MOTOR,M1_MOTOR-WR-004,Open circuit: C22 / PWM_OUT,WIRING,OPEN,AOI;VIBR;PROG;HIPOT,"open, 断路, C22, PWM_OUT"
M1_MOTOR,M1_MOTOR-WR-005,Open circuit: U15 / GND_SHIELD,WIRING,OPEN,AOI;EOL,"open, 断路, U15, GND_SHIELD"
M1_MOTOR,M1_MOTOR-WR-006,Open circuit: D7 / HALL_B,WIRING,OPEN,VIBR;HIPOT,"open, 断路, D7, HALL_B"
M1_MOTOR,M1_MOTOR-WR-007,Short circuit: C22 / PWM_OUT,WIRING,SHORT,VIBR;EOL,"short, 短路, C22, PWM_OUT, bridge"
M1_MOTOR,M1_MOTOR-WR-008,Short circuit: U15 / GND_SHIELD,WIRING,SHORT,THERMAL;HIPOT;VIBR;PROG,"short, 短路, U15, GND_SHIELD, bridge"
M1_MOTOR,M1_MOTOR-WR-009,Short circuit: D7 / HALL_B,WIRING,SHORT,PROG;VIBR,"short, 短路, D7, HALL_B, bridge"
M1_MOTOR,M1_MOTOR-WR-010,Short circuit: T4 / PHASE_V,WIRING,SHORT,HIPOT;AOI;EOL,"short, 短路, T4, PHASE_V, bridge"
M1_MOTOR,M1_MOTOR-WR-011,Short circuit: R88 / VCC_12V,WIRING,SHORT,PROG;HIL;THERMAL;EOL,"short, 短路, R88, VCC_12V, bridge"
M1_MOTOR,M1_MOTOR-WR-012,Short circuit: L9 / HALL_A,WIRING,SHORT,HIPOT;HIL,"short, 短路, L9, HALL_A, bridge"
M1_MOTOR,M1_MOTOR-BD-013,Dry joint suspected: T4,BONDING,DRY_JOINT,AOI;PROG,"dry joint, 虚焊, 浮动, T4"
M1_MOTOR,M1_MOTOR-BD-014,Dry joint suspected: R88,BONDING,DRY_JOINT,HIL;HIPOT,"dry joint, 虚焊, 浮动, R88"
M1_MOTOR,M1_MOTOR-BD-015,Dry joint suspected: L9,BONDING,DRY_JOINT,HIL;AOI;PROG;THERMAL,"dry joint, 虚焊, 浮动, L9"
M1_MOTOR,M1_MOTOR-BD-016,Dry joint suspected: Q3,BONDING,DRY_JOINT,AOI;VIBR;HIL,"dry joint, 虚焊, 浮动, Q3"
M1_MOTOR,M1_MOTOR-BD-017,Dry joint suspected: C22,BONDING,DRY_JOINT,VIBR;HIL;HIPOT;EOL,"dry joint, 虚焊, 浮动, C22"
M1_MOTOR,M1_MOTOR-BD-018,Dry joint suspected: U15,BONDING,DRY_JOINT,AOI;HIPOT;EOL;HIL,"dry joint, 虚焊, 浮动, U15"
M1_MOTOR,M1_MOTOR-EQ-019,Harness contact unstable (test harness / adapter),EQUIPMENT,HARNESS_CONTACT,HIPOT;EOL,"harness, adapter, 接触不良, 线束, reseat"
M1_MOTOR,M1_MOTOR-EQ-020,Harness contact unstable (test harness / adapter),EQUIPMENT,HARNESS_CONTACT,PROG;HIL,"harness, adapter, 接触不良, 线束, reseat"
M1_MOTOR,M1_MOTOR-EQ-021,Harness contact unstable (test harness / adapter),EQUIPMENT,HARNESS_CONTACT,THERMAL;HIL;EOL,"harness, adapter, 接触不良, 线束, reseat"
M1_MOTOR,M1_MOTOR-EQ-022,Harness contact unstable (test harness / adapter),EQUIPMENT,HARNESS_CONTACT,HIL;EOL;HIPOT,"harness, adapter, 接触不良, 线束, reseat"
M1_MOTOR,M1_MOTOR-EQ-023,Harness contact unstable (test harness / adapter),EQUIPMENT,HARNESS_CONTACT,THERMAL;HIPOT;AOI;EOL,"harness, adapter, 接触不良, 线束, reseat"
M1_MOTOR,M1_MOTOR-EQ-024,Harness contact unstable (test harness / adapter),EQUIPMENT,HARNESS_CONTACT,THERMAL;EOL;HIPOT;PROG,"harness, adapter, 接触不良, 线束, reseat"
M1_MOTOR,M1_MOTOR-EQ-025,Sensor drift / calibration offset,EQUIPMENT,SENSOR_DRIFT,HIL;THERMAL;VIBR,"sensor drift, 传感器漂移, offset, calibration"
M1_MOTOR,M1_MOTOR-EQ-026,Sensor drift / calibration offset,EQUIPMENT,SENSOR_DRIFT,THERMAL;HIL,"sensor drift, 传感器漂移, offset, calibration"
M1_MOTOR,M1_MOTOR-EQ-027,Sensor drift / calibration offset,EQUIPMENT,SENSOR_DRIFT,EOL;AOI,"sensor drift, 传感器漂移, offset, calibration"
M1_MOTOR,M1_MOTOR-EQ-028,Sensor drift / calibration offset,EQUIPMENT,SENSOR_DRIFT,PROG;HIL;AOI,"sensor drift, 传感器漂移, offset, calibration"
M1_MOTOR,M1_MOTOR-EQ-029,Sensor drift / calibration offset,EQUIPMENT,SENSOR_DRIFT,VIBR;THERMAL,"sensor drift, 传感器漂移, offset, calibration"
M1_MOTOR,M1_MOTOR-EQ-030,Sensor drift / calibration offset,EQUIPMENT,SENSOR_DRIFT,EOL;THERMAL;PROG,"sensor drift, 传感器漂移, offset, calibration"
M1_MOTOR,M1_MOTOR-FW-031,Programming failed (ECU flash),FIRMWARE,FLASH_FAIL,THERMAL;PROG;EOL,"flash fail, 刷写失败, write fail, program fail"
M1_MOTOR,M1_MOTOR-FW-032,Programming failed (ECU flash),FIRMWARE,FLASH_FAIL,EOL;HIPOT;VIBR,"flash fail, 刷写失败, write fail, program fail"
M1_MOTOR,M1_MOTOR-FW-033,Programming failed (ECU flash),FIRMWARE,FLASH_FAIL,HIL;THERMAL;VIBR;PROG,"flash fail, 刷写失败, write fail, program fail"
M1_MOTOR,M1_MOTOR-FW-034,Programming failed (ECU flash),FIRMWARE,FLASH_FAIL,PROG;HIL;EOL;VIBR,"flash fail, 刷写失败, write fail, program fail"
M1_MOTOR,M1_MOTOR-FW-035,Programming failed (ECU flash),FIRMWARE,FLASH_FAIL,PROG;AOI;THERMAL;VIBR,"flash fail, 刷写失败, write fail, program fail"
M1_MOTOR,M1_MOTOR-FW-036,Programming failed (ECU flash),FIRMWARE,FLASH_FAIL,THERMAL;EOL,"flash fail, 刷写失败, write fail, program fail"
M1_MOTOR,M1_MOTOR-FW-037,Parameter set mismatch (variant coding),FIRMWARE,PARAM_MISMATCH,PROG;VIBR;AOI;HIPOT,"param mismatch, 参数不符, variant coding, wrong config"
M1_MOTOR,M1_MOTOR-FW-038,Parameter set mismatch (variant coding),FIRMWARE,PARAM_MISMATCH,VIBR;PROG;HIPOT,"param mismatch, 参数不符, variant coding, wrong config"
M1_MOTOR,M1_MOTOR-FW-039,Parameter set mismatch (variant coding),FIRMWARE,PARAM_MISMATCH,VIBR;AOI;THERMAL,"param mismatch, 参数不符, variant coding, wrong config"
M1_MOTOR,M1_MOTOR-FW-040,Parameter set mismatch (variant coding),FIRMWARE,PARAM_MISMATCH,VIBR;HIL;THERMAL;AOI,"param mismatch, 参数不符, variant coding, wrong config"
M1_MOTOR,M1_MOTOR-FW-041,Parameter set mismatch (variant coding),FIRMWARE,PARAM_MISMATCH,PROG;EOL;HIPOT,"param mismatch, 参数不符, variant coding, wrong config"
