product_id,code,standard_label,category_lv1,category_lv2,station_scope,keywords_examples
M4_COMM,M4_COMM-WR-001,Open circuit: R66 / ETH_RX,WIRING,OPEN,AOI;EOL;HIPOT,"open, 断路, R66, ETH_RX"
M4_COMM,M4_COMM-WR-002,Open circuit: L7 / CAN_H,WIRING,OPEN,HIPOT;PROG;EMC;EOL,"open, 断路, L7, CAN_H"
M4_COMM,M4_COMM-WR-003,Open circuit: J4 / SPI_CLK,WIRING,OPEN,PROG;HIPOT;THERMAL;HIL,"open, 断路, J4, SPI_CLK"
M4_COMM,M4_COMM-WR-004,Open circuit: C44 / ETH_TX,WIRING,OPEN,PROG;HIL;EMC;AOI,"open, 断路, C44, ETH_TX"
M4_COMM,M4_COMM-WR-005,Open circuit: U12 / LIN_BUS,WIRING,OPEN,THERMAL;AOI;EOL;EMC,"open, 断路, U12, LIN_BUS"
M4_COMM,M4_COMM-WR-006,Open circuit: D5 / CAN_L,WIRING,OPEN,THERMAL;AOI;EOL,"open, 断路, D5, CAN_L"
M4_COMM,M4_COMM-WR-007,Short circuit: C44 / ETH_TX,WIRING,SHORT,EOL;EMC,"short, 短路, C44, ETH_TX, bridge"
M4_COMM,M4_COMM-WR-008,Short circuit: U12 / LIN_BUS,WIRING,SHORT,EOL;AOI,"short, 短路, U12, LIN_BUS, bridge"
M4_COMM,M4_COMM-WR-009,Short circuit: D5 / CAN_L,WIRING,SHORT,PROG;THERMAL;EMC,"short, 短路, D5, CAN_L, bridge"
M4_COMM,M4_COMM-WR-010,Short circuit: T6 / UART_TX,WIRING,SHORT,HIL;AOI;EOL,"short, 短路, T6, UART_TX, bridge"
M4_COMM,M4_COMM-WR-011,Short circuit: R66 / ETH_RX,WIRING,SHORT,THERMAL;HIL;PROG,"short, 短路, R66, ETH_RX, bridge"
M4_COMM,M4_COMM-WR-012,Short circuit: L7 / CAN_H,WIRING,SHORT,THERMAL;EOL,"short, 短路, L7, CAN_H, bridge"
M4_COMM,M4_COMM-BD-013,Dry joint suspected: T6,BONDING,DRY_JOINT,HIPOT;THERMAL;EMC,"dry joint, 虚焊, 浮动, T6"
M4_COMM,M4_COMM-BD-014,Dry joint suspected: R66,BONDING,DRY_JOINT,HIPOT;EOL;PROG;AOI,"dry joint, 虚焊, 浮动, R66"
M4_COMM,M4_COMM-BD-015,Dry joint suspected: L7,BONDING,DRY_JOINT,EOL;THERMAL;HIPOT;HIL,"dry joint, 虚焊, 浮动, L7"
M4_COMM,M4_COMM-BD-016,Dry joint suspected: J4,BONDING,DRY_JOINT,AOI;HIPOT,"dry joint, 虚焊, 浮动, J4"
M4_COMM,M4_COMM-BD-017,Dry joint suspected: C44,BONDING,DRY_JOINT,HIPOT;HIL,"dry joint, 虚焊, 浮动, C44"
M4_COMM,M4_COMM-BD-018,Dry joint suspected: U12,BONDING,DRY_JOINT,THERMAL;EMC;HIL;PROG,"dry joint, 虚焊, 浮动, U12"
M4_COMM,M4_COMM-EQ-019,Harness contact unstable (test harness / adapter),EQUIPMENT,HARNESS_CONTACT,PROG;THERMAL,"harness, adapter, 接触不良, 线束, reseat"
M4_COMM,M4_COMM-EQ-020,Harness contact unstable (test harness / adapter),EQUIPMENT,HARNESS_CONTACT,THERMAL;PROG;HIL,"harness, adapter, 接触不良, 线束, reseat"
