category_id,category_path
1,Education > Early Childhood > Preschool > Montessori Guide
2,Finance & Banking > Insurance > Underwriting > Property Underwriter
3,Engineering > Mechanical Engineering > HVAC > HVAC Engineer
4,Engineering > Mechanical Engineering > Design > CAD Engineer
5,Engineering > Mechanical Engineering > Design > Product Design Engineer
6,Marketing & Sales > Market Research > Consumer Insights > Consumer Insights Manager
7,Healthcare > Nursing & Allied Health > Registered Nursing > ER Nurse
8,Technology > Cybersecurity > Application Security > Vulnerability Assessor
9,Legal > Intellectual Property > Patents > Patent Attorney
10,Healthcare > Clinical Medicine > Specialists > Oncologist
11,Healthcare > Nursing & Allied Health > Lab & Diagnostics > Medical Technologist
12,Engineering > Civil Engineering > Environmental > Environmental Engineer
13,Engineering > Civil Engineering > Structural > Structural Engineer
14,Government & Public Sector > Nonprofit > Program Management > Program Director
15,Government & Public Sector > State & Local > Social Services > Case Manager
16,Legal > Employment Law > Labor Relations > Employment Attorney
17,Government & Public Sector > Nonprofit > Program Management > Volunteer Coordinator
18,Science & Research > Life Sciences > Biology > Biologist
19,Human Resources > HR Operations > Payroll > Payroll Specialist
20,Technology > IT Infrastructure > Systems Administration > Windows Admin
21,Legal > Litigation > Civil > Plaintiff Attorney
22,Human Resources > Talent Acquisition > Recruiting > Campus Recruiter
23,Human Resources > Compensation & Benefits > Benefits > Benefits Administrator
24,Engineering > Biomedical > Medical Devices > Clinical Engineer
25,Technology > Software Development > Frontend > Vue.js Developer
26,Finance & Banking > Investment Banking > Advisory > Wealth Manager
27,Science & Research > Life Sciences > Biology > Microbiologist
28,Marketing & Sales > Sales > Field Sales > Regional Sales Manager
29,Finance & Banking > Insurance > Actuarial > Actuarial Analyst
30,Finance & Banking > Investment Banking > Capital Markets > Derivatives Trader
31,Science & Research > Environmental Science > Sustainability > Sustainability Consultant
32,Marketing & Sales > Digital Marketing > Social Media > Community Manager
33,Healthcare > Mental Health > Psychology > Clinical Psychologist
34,Technology > Product & Design > UX Design > UX Researcher
35,Science & Research > Mathematics > Applied Math > Operations Research Analyst
36,Finance & Banking > Commercial Banking > Relationship Management > Business Banker
37,Legal > Real Estate > Commercial > Commercial Real Estate Attorney
38,Engineering > Biomedical > Medical Devices > Biomedical Engineer
39,Finance & Banking > Commercial Banking > Operations > Branch Manager
40,Marketing & Sales > Digital Marketing > Email > CRM Specialist
41,Human Resources > Talent Acquisition > Recruiting > Executive Recruiter
42,Finance & Banking > Accounting > Public Accounting > Tax Accountant
43,Healthcare > Pharmacy > Retail Pharmacy > Community Pharmacist
44,Operations & Logistics > Manufacturing Operations > Production > Production Manager
45,Science & Research > Physical Sciences > Chemistry > Analytical Chemist
46,Operations & Logistics > Project Management > Traditional > Program Manager
47,Finance & Banking > Insurance > Actuarial > Actuary
48,Healthcare > Clinical Medicine > Surgery > Orthopedic Surgeon
49,Technology > Product & Design > Product Management > Growth PM
50,Legal > Intellectual Property > Copyright > Copyright Attorney
51,Human Resources > HR Operations > HRIS > HRIS Administrator
52,Healthcare > Clinical Medicine > Specialists > Neurologist
53,Creative & Media > Visual Arts > Photography > Photo Editor
54,Government & Public Sector > Federal Government > Defense > Defense Analyst
55,Creative & Media > Music & Audio > Audio Engineering > Audio Engineer
56,Technology > IT Infrastructure > Networking > Network Architect
57,Education > Corporate Training > L&D > Training Manager
58,Marketing & Sales > Sales > Enterprise Sales > Solution Architect
59,Education > K-12 Teaching > Elementary > Elementary Teacher
60,Education > K-12 Teaching > Middle School > Math Teacher
61,Finance & Banking > Compliance > Risk Management > Operational Risk Manager
62,Science & Research > Pharmaceutical > Drug Discovery > Pharmacologist
63,Legal > Intellectual Property > Trademarks > Trademark Attorney
64,Marketing & Sales > Brand Management > Creative > Creative Director
65,Technology > Data & Analytics > Business Intelligence > Power BI Specialist
66,Healthcare > Nursing & Allied Health > Registered Nursing > OR Nurse
67,Operations & Logistics > Supply Chain > Logistics > Transportation Manager
68,Healthcare > Clinical Medicine > Surgery > Cardiac Surgeon
69,Healthcare > Clinical Medicine > Surgery > Neurosurgeon
70,Engineering > Electrical Engineering > Electronics > Embedded Systems Engineer
71,Science & Research > Pharmaceutical > Drug Discovery > Medicinal Chemist
72,Education > K-12 Teaching > High School > AP Teacher
73,Construction & Real Estate > Construction > Trades > Carpenter
74,Technology > Cybersecurity > Network Security > Penetration Tester
75,Education > Early Childhood > Preschool > Preschool Teacher
76,Operations & Logistics > Supply Chain > Procurement > Procurement Manager
77,Government & Public Sector > International > Development > Aid Worker
78,Marketing & Sales > Sales > Field Sales > Territory Manager
79,Finance & Banking > Insurance > Claims > Claims Adjuster
80,Legal > Corporate Law > Compliance > Corporate Compliance Officer
81,Creative & Media > Writing & Editorial > Technical Writing > Technical Writer
82,Finance & Banking > Asset Management > Research > Equity Research Analyst
83,Construction & Real Estate > Construction > Trades > Electrician
84,Technology > IT Infrastructure > Cloud Services > GCP Engineer
85,Engineering > Biomedical > Tissue Engineering > Tissue Engineer
86,Operations & Logistics > Facilities > Safety > Safety Officer
87,Healthcare > Administration > Health Informatics > EHR Analyst
88,Marketing & Sales > Sales > Channel Sales > Channel Manager
89,Creative & Media > Video & Film > Animation > 2D Animator
90,Finance & Banking > Commercial Banking > Operations > Bank Teller
91,Education > Higher Education > Professors > Associate Professor
92,Construction & Real Estate > Real Estate > Residential > Property Manager
93,Legal > Corporate Law > Contracts > Contract Attorney
